"%s at %s";"%s в %s"
"%s comment";"%s комментарий";"%s комментариев"
"%s event";"%s событие";"%s события"
"%s friend";"Друзей: %s";"Друзей: %s"
"%s group";"группа %s";"групп %s"
"%s group invite";"%s приглашений группы"
"%s guest";"%s гость";"%s гостей"
"%s has not posted a classified listing yet.";"%s не опубликовал еще объявлений."
"%s hour ago";"%s час назад";"%s часов назад"
"%s like";"%s нравится";"%s нравится"
"%s likes this";"%s понравилось";"%s понравилось"
"%s likes this.";"%s понравилось";"%s понравилось"
"%s member";"пользователь %s";"пользователей %s"
"%s member found";"%s управление пользователем";"%s управление пользователями"
"%s member found.";"Найден %s пользователь";"Найдено %s пользователей"
"%s member.";"%s пользователь.";"%s пользователей."
"%s Members Online";"Онлайн %s";"Онлайн %s"
"%s minute ago";"%s минуту назад";"%s минут назад"
"%s person";"%s человек";"%s людей"
"%s person likes this";"%s понравилось";"%s понравилось"
"%s photo";"%s фотография";"%s фотографий"
"%s play";"%s воспроизводит";"%s воспроизводят"
"%s rating";"%s рейтинг";"%s рейтинг"
"%s result found";"%s результат получен";"%s результаты получены"
"%s total member";"%s всего пользователь";"%s всего пользователей"
"%s total view";"%s общий вид";"%s общий вид"
"%s track";"%s трек";"%s трек"
"%s update";"%s обновление";"%s обновлений";"%s обновлений"
"%s Update";"%s Обновление";"%s Обновлений";"%s Обновлений"
"%s view";"%s просматривает";"%s просматривают"
"%s vote";"%s голос";"%s голосов"
"%s's Dashboard";"%s's Панель управления"
"%s's Polls";"%s's Опросы"
"'%value%' contains not only digit characters";"Пожалуйста, введите только цифры"
"'%value%' does not appear to be a float";"Пожалуйста, введите корректное десятичное число"
"'%value%' does not appear to be a valid date";"Пожалуйста, выберите правильную дату"
"'%value%' does not appear to be an integer";"Пожалуйста, введите целое число"
"'%value%' does not fit given date format";"Пожалуйста, выберите правильную дату"
"'%value%' exceeds the allowed length";"Пожалуйста, введите адрес электронной почты"
"'%value%' has not only alphabetic and digit characters";"Введите только буквы и цифры символов"
"'%value%' has not only alphabetic characters";"Введите только буквы и цифры символов"
"'%value%' is an empty string";"Введите только буквы и цифры символов"
"'%value%' is an empty string";"Пожалуйста, введите только цифры"
"'%value%' is greater than %max% characters long";"Пожалуйста, введите в строку не более %max% символов"
"'%value%' is less than %min% characters long";"Пожалуйста, введите в строку не менее %min% символов"
"'%value%' is not a valid email address in the basic format local-part@hostname";"Пожалуйста, введите адрес электронной почты"
"'%value%' is not a valid zip code.";"'%value%'неверный почтовый индекс."
"'%value%' is not at least '%min%'";"Пожалуйста, введите число не менее '%min%'"
"'%value%' is not between '%min%' and '%max%', inclusively";"Пожалуйста, выберите число от '%min%' до '%max%'"
"'%value%' is not greater than '%min%'";"Пожалуйста, выберите число, большее '%min%'"
"'%value%' is not less than '%max%'";"Пожалуйста, введите число, меньшее '%max%'"
"'%value%' is not of the format YYYY-MM-DD";"Пожалуйста, выберите правильную дату"
"'%value%' is not strictly between '%min%' and '%max%'";"Пожалуйста, выберите число от '%min%' до '%max%'"
"&#171; Previous";"&#171; Назад"
"&#187; Discussions";"&#187; Обсуждения"
"&#187; Photos";"&#187; Фотографии"
"(HTML or Plain Text)";"(HTML или обычный текст)"
"(No Subject)";"(Без темы)"
"(select)";"(выбрать)"
"(UTC+1) Amsterdam, Berlin, Paris, Rome, Madrid";"(GMT +1) Западная, Центральная Европа, Западная Центральная Африка"
"(UTC+10) Brisbane, Melbourne, Sydney, Guam";"(GMT +10) Владивосток, Брисбейн, Гуам, Порт Моресби, Канберра, Мельбурн, Сидней, Хобарт"
"(UTC+11) Magadan, Soloman Is., New Caledonia";"(GMT +11) Магадан, Сахалин, Соломоновы о-ва, Новая Каледония"
"(UTC+12) Fiji, Kamchatka, Marshall Is., Wellington";"(GMT +12) Камчатка, Фиджи, Маршалловы о-ва, Окленд, Веллингтон"
"(UTC+2) Athens, Helsinki, Istanbul, Cairo, E. Europe";"(GMT +2) Восточная Европа, Стамбул, Иерусалим, Каир"
"(UTC+3) Baghdad, Kuwait, Nairobi, Moscow";"(GMT +3) Москва, Багдад, Кувейт, Найроби"
"(UTC+3:30) Tehran";"(UTC+3:30) Тегеран"
"(UTC+4) Abu Dhabi, Kazan, Muscat";"(GMT +4) Абу-Даби, Мускат, Баку, Ереван, Тбилиси"
"(UTC+4:30) Kabul";"(UTC+4:30) Кабул"
"(UTC+5) Islamabad, Karachi, Tashkent";"(GMT +5) Екатеринбург, Исламабад, Карачи, Ташкент"
"(UTC+5:30) Bombay, Calcutta, New Delhi";"(GMT +5:30) Бомбей, Калькутта, Мадрас, Нью-Дели"
"(UTC+5:45) Nepal";"(GMT +5:45) Непал, Катманду"
"(UTC+6) Almaty, Dhaka";"(GMT +6) Омск, Новосибирск, Астана, Дхака, Алма-Ата"
"(UTC+6:30) Cocos Islands, Yangon";"(GMT +6:30) Кокосовы острова, Янгон, Рангун"
"(UTC+7) Bangkok, Jakarta, Hanoi";"(GMT +7) Красноярск, Бангкок, Джакарта, Ханой"
"(UTC+8) Beijing, Hong Kong, Singapore, Taipei";"(GMT +8) Иркутск, Улан-Батор, Гонконг, Пекин, Урумчи, Куала-Лумпур, Сингапур, Перт, Тайпей"
"(UTC+9) Tokyo, Osaka, Sapporto, Seoul, Yakutsk";"(GMT +9) Якутск, Осака, Саппоро, Токио, Сеул"
"(UTC+9:30) Adelaide, Darwin";"(GMT +9:30) Аделаида, Дарвин"
"(UTC-1) Azores, Cape Verde Is.";"(GMT -1) Азорские о-ва, о-ва Зелёного мыса"
"(UTC-10) Hawaii (US)";"(GMT -10) Гавайи (США)"
"(UTC-11) Midway Island, Samoa";"(GMT -11) о. Мидуэй, Самоа"
"(UTC-12) Eniwetok, Kwajalein";"(GMT -12) Меридиан смены дат (запад)"
"(UTC-2) Mid-Atlantic";"(GMT -2) Среднеатлантическое время"
"(UTC-3) Brasilia, Buenos Aires, Georgetown";"(GMT -3) Бразилия, Буэнос-Айрес, Джорджтаун, Гренландия"
"(UTC-3:30) Canada/Newfoundland";"(GMT -3:30) Ньюфаундленд (Канада)"
"(UTC-4)  Atlantic Time (Canada)";"(GMT -4) Атлантическое время (Канада), Каракас, Сантьяго"
"(UTC-5) Eastern Time (US & Canada)";"(GMT -5) Богота, Лимо, Кито, Восточное время (США и Канада), Индиана (восток)"
"(UTC-6) Central Time (US & Canada)";"(GMT -6) Гвадалахара, Мехико, Монтеррей, Саскачеван, Центральное время (США и Канада)"
"(UTC-7) Mountain Time (US & Canada)";"(GMT -7) Аризона, Горное время (США и Канада), Ла Пас, Мазатлан, Чихуахуа"
"(UTC-8) Pacific Time (US & Canada)";"(GMT -8) Тихоокеанское время (США и Канада), Тихуана"
"(UTC-9)  Alaska (US & Canada)";"(GMT -9) Аляска (США и Канада)"
",";","
"...";"..."
"... &nbsp;";"... &nbsp;"
"_ACTIVITY_ACTIONTYPE_ALBUM_PHOTO_NEW";"Новые фотоальбомы"
"_ACTIVITY_ACTIONTYPE_BLOG_NEW";"Новые блоги"
"_ACTIVITY_ACTIONTYPE_CLASSIFIED_NEW";"Новые объявления"
"_ACTIVITY_ACTIONTYPE_COMMENT_ALBUM";"Комментарии на фотоальбомах"
"_ACTIVITY_ACTIONTYPE_COMMENT_ALBUM_PHOTO";"Комментарии на фотографии"
"_ACTIVITY_ACTIONTYPE_COMMENT_BLOG";"Комментарии к блогу"
"_ACTIVITY_ACTIONTYPE_COMMENT_CLASSIFIED";"Комментарии на объявление"
"_ACTIVITY_ACTIONTYPE_COMMENT_PLAYLIST";"Комментарии на плейлист"
"_ACTIVITY_ACTIONTYPE_COMMENT_POLL";"Комментарии на опросы" 
"_ACTIVITY_ACTIONTYPE_COMMENT_VIDEO";"Комментарии к вашим видео"
"_ACTIVITY_ACTIONTYPE_EVENT_CREATE";"Новые события"
"_ACTIVITY_ACTIONTYPE_EVENT_JOIN";"Присоедиться к событию" 
"_ACTIVITY_ACTIONTYPE_EVENT_PHOTO_UPLOAD";"Загрузка фото с события" 
"_ACTIVITY_ACTIONTYPE_EVENT_TOPIC_CREATE";"Создание темы обсуждения событий" 
"_ACTIVITY_ACTIONTYPE_EVENT_TOPIC_REPLY";"Ответить на тему обсуждения событий" 
"_ACTIVITY_ACTIONTYPE_FIELDS_CHANGE_GENERIC";"Обновление профиля"
"_ACTIVITY_ACTIONTYPE_FORUM_TOPIC_CREATE";"Создание темы форума"
"_ACTIVITY_ACTIONTYPE_FORUM_TOPIC_REPLY";"Отвечая на форуме в теме"
"_ACTIVITY_ACTIONTYPE_FRIENDS";"Когда два пользователя становятся друзьями"
"_ACTIVITY_ACTIONTYPE_FRIENDS_FOLLOW";"Когда пользователь становится моим другом"
"_ACTIVITY_ACTIONTYPE_GROUP_CREATE";"Новые группы"
"_ACTIVITY_ACTIONTYPE_GROUP_JOIN";"Присоединение к группе"
"_ACTIVITY_ACTIONTYPE_GROUP_PHOTO_UPLOAD";"Загрузка фотографий группы"
"_ACTIVITY_ACTIONTYPE_GROUP_PROMOTE";"Акции группы"
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_CREATE";"Создание темы обсуждения группы"
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_REPLY";"Отвечая на тему обсуждения группы"
"_ACTIVITY_ACTIONTYPE_LOGIN";"Вход"
"_ACTIVITY_ACTIONTYPE_LOGOUT";"Выход"
"_ACTIVITY_ACTIONTYPE_MUSIC_PLAYLIST_NEW";"Новые плейлисты"
"_ACTIVITY_ACTIONTYPE_NETWORK_JOIN";"Зарегистрироваться"
"_ACTIVITY_ACTIONTYPE_POLL_NEW";"Новые опросы" 
"_ACTIVITY_ACTIONTYPE_POST";"Обновление сообщения в профиле пользователя"
"_ACTIVITY_ACTIONTYPE_POST_SELF";"Обновление сообщения."
"_ACTIVITY_ACTIONTYPE_PROFILE_PHOTO_UPDATE";"Обновление фото профиля."
"_ACTIVITY_ACTIONTYPE_SIGNUP";"Регистрация"
"_ACTIVITY_ACTIONTYPE_STATUS";"Обновление статуса"
"_ACTIVITY_ACTIONTYPE_TAGGED";"Теги"
"_ACTIVITY_ACTIONTYPE_VIDEO_NEW";"Новые видео"
"_BLOG_FORM_STYLE_DESCRIPTION";"Вы можете изменить цвета, шрифты и стили блог, добавив CSS код. Содержимое текстовой области ниже, будет выход между <style>, тегов в блоге."
"_CAPTCHA_DESCRIPTION";"Пожалуйста, введите символы, которые Вы видите на картинке."
"_CORE_ADMIN_STATS_ACTIVITY_POSTS";"Размещено сообщений"
"_CORE_ADMIN_STATS_AD_CLICKS";"Кликов"
"_CORE_ADMIN_STATS_AD_IMPRESSIONS";"Показов объявлений"
"_CORE_ADMIN_STATS_ANNOUNCEMENT_CREATIONS";"Объявления"
"_CORE_ADMIN_STATS_CORE_COMMENTS";"Комментарии"
"_CORE_ADMIN_STATS_CORE_EMAILS";"Отправлено писем"
"_CORE_ADMIN_STATS_CORE_REPORTS";"Отчеты о злоупотреблении"
"_CORE_ADMIN_STATS_CORE_UNIQUES";"Уникальные посетители"
"_CORE_ADMIN_STATS_CORE_VIEWS";"Просмотров страниц"
"_CORE_ADMIN_STATS_MESSAGES_CREATIONS";"Личные сообщения"
"_CORE_ADMIN_STATS_USER_CREATIONS";"Регистрации"
"_CORE_ADMIN_STATS_USER_FRIENDSHIPS";"Новая дружба"
"_CORE_ADMIN_STATS_USER_LOGINS";"Регистрация"
"_CORE_CONTACT_DESCRIPTION";"Если вы хотите задать нам вопрос прямо, отправьте сообщение со следующей форме."
"_CORE_HELP_CONTACT_MESSAGE";"Имя: %1$s <br> E-mail: %2$s <br> Информация пользователя : (%3$s - %4$s) <br> IP: %5$s <br> User-agent: %6$s <br> Время сервера: %7$s <br> Сообщений: %8$s"
"_CORE_PRIVACY_STATEMENT";"Эта страница будет содержать положение о конфиденциальности по Вашему выбору."
"_CORE_TERMS_OF_SERVICE";"Эта страница будет содержать условия предоставления услуг по Вашему выбору."
"_EMAIL_CORE_COMMENTED_COMMENTED_DESCRIPTION";"Это сообщение посылается, когда кто-то комментирует пост.<br/><br/>Available placeholders:<br/>[displayname],[subject],[item],[message],[link]"
"_EMAIL_CORE_COMMENTED_COMMENTED_TITLE";"Также прокомментированный"
"_EMAIL_CORE_COMMENTED_DESCRIPTION";"Это сообщение посылается, когда кто-то, написал комментарий к их посту.<br/><br/>Available placeholders:<br/>[displayname],[subject],[item],[message],[link]"
"_EMAIL_CORE_COMMENTED_TITLE";"Комментарий"
"_EMAIL_CORE_CONTACT_BODY";"[header] <br> [sender_title] отправил вам сообщение, используя контактную страницу: <br/> E-mail: [sender_email]<br> Сообщение:<br> [message][error_report]<br> [footer]"
"_EMAIL_CORE_CONTACT_DESCRIPTION";"Это сообщение посылается суперадмину когда пользователь посылает сообщение, используя контактную страницу."
"_EMAIL_CORE_CONTACT_SUBJECT";"Пользователь отправил вам сообщение, используя контактную страницу."
"_EMAIL_CORE_CONTACT_TITLE";"Связаться с нами по E-mail"
"_EMAIL_CORE_FRIEND_ACCEPTED_DESCRIPTION";"Это сообщение посылается пользователю, когда их запрос дружбы был одобрен.<br/><br/>Available placeholders:<br/>[displayname],[friendname],[link]"
"_EMAIL_CORE_FRIEND_ACCEPTED_TITLE";"Друг одобренный"
"_EMAIL_CORE_FRIEND_REQUEST_DESCRIPTION";"Это сообщение посылается пользователю, когда они просили быть другом другого пользователя.<br/><br/>Available placeholders:<br/>[displayname],[friendname],[link]"
"_EMAIL_CORE_FRIEND_REQUEST_TITLE";"Запрос друга"
"_EMAIL_CORE_INVITE_BODY";"Привет, Вы были приглашены  [displayname] присоединиться к нашей социальной сети. Чтобы присоединиться, пожалуйста, перейдите по ссылке ниже: [link]С наилучшими пожеланиями,Social Network Administration----------------------------------------[message]"
"_EMAIL_CORE_INVITE_DESCRIPTION";"Это сообщение посылается когда пользователи приглашают своих друзей присоединиться во время процесса регистрации. <br/><br/>Available placeholders:<br/>[displayname],[email],[message],[link]"
"_EMAIL_CORE_INVITE_SUBJECT";"Вы получили приглашение присоединиться к нашей социальной сети."
"_EMAIL_CORE_INVITE_TITLE";"Приглашение"
"_EMAIL_CORE_INVITECODE_BODY";"Привет,Вы были приглашены [displayname] присоединиться к нашей социальной сети.Чтобы присоединиться, пожалуйста, перейдите по ссылке ниже: [link]С наилучшими пожеланиями, Social Network Administration----------------------------------------[message]"
"_EMAIL_CORE_INVITECODE_DESCRIPTION";"Это сообщение посылается кому-то, когда они пригласили одного из пользователя и пригласительный  код не требуется.<br/><br/>Available placeholders:<br/>[displayname],[email],[message],[link]"
"_EMAIL_CORE_INVITECODE_SUBJECT";"Вы получили приглашение присоединиться к нашей социальной сети!"
"_EMAIL_CORE_INVITECODE_TITLE";"Пригласительный код"
"_EMAIL_CORE_LIKED_COMMENTED_DESCRIPTION";"Это сообщение посылается, когда кто-то комментарии на должность пользователя понравился. <br/><br/>Available placeholders:<br/>[displayname],[subject],[item],[message],[link]@
"_EMAIL_CORE_LIKED_COMMENTED_TITLE";"Комментировать понравилось"
"_EMAIL_CORE_LIKED_DESCRIPTION";"Это сообщение посылается пользователю, когда кому-то нравится должность пользователя. <br/><br/>Available placeholders:<br/>[displayname],[subject],[item],[link]"
"_EMAIL_CORE_LIKED_TITLE";"Понравилось"
"_EMAIL_CORE_LOSTPASSWORD_BODY";"[header]<br> Вы запросили, чтобы изменить свой пароль, потому что вы забыли свой его. Если Вы не запрашивали этого, пожалуйста, игнорируйте запрос. Он истекает через 24 часа. Чтобы изменить пароль, нажмите на следующую ссылку: <br>[object_link]<br>[footer]"
"_EMAIL_CORE_LOSTPASSWORD_DESCRIPTION";"Это сообщение посылается, если пользователь забыл свой пароль и просит, создать новый."
"_EMAIL_CORE_LOSTPASSWORD_SUBJECT";"Social Network - Забыли пароль"
"_EMAIL_CORE_LOSTPASSWORD_TITLE";"Забыли пароль"
"_EMAIL_CORE_MESSAGE_NEW_DESCRIPTION";"Это сообщение посылается пользователю, когда они получают новое сообщение. <br/><br/>Available placeholders:<br/>[displayname],[subject],[message],[link]"
"_EMAIL_CORE_MESSAGE_NEW_TITLE";"Новое сообщение"
"_EMAIL_CORE_NEWPASSWORD_BODY";"Привет [displayname],Благодарим Вас за участие в нашей социальной сети. Нажмите на следующую ссылку и введите информацию и ниже Логин: [link]Email: [email]Password: [password]С наилучшими пожеланиями,Social Network Administration"
"_EMAIL_CORE_NEWPASSWORD_DESCRIPTION";"Это сообщение посылается пользователю, если вы решили создать случайный пароль для пользователей при регистрации. <br/><br/>Available placeholders:<br/>[displayname],[email],[password],[link]"
"_EMAIL_CORE_NEWPASSWORD_SUBJECT";"Social Network - Детали логина"
"_EMAIL_CORE_NEWPASSWORD_TITLE";"Новый пароль"
"_EMAIL_CORE_POST_USER_DESCRIPTION";"Это сообщение посылается пользователю, если кто-то размещен в профиле участника. <br/><br/>Available placeholders:<br/>[displayname],[subject],[message],[link]"
"_EMAIL_CORE_POST_USER_TITLE";"Сообщение на профиль"
"_EMAIL_CORE_TAGGED_DESCRIPTION";"Это сообщение посылается пользователю, когда кто-то помечает их. <br/><br/>Available placeholders:<br/>[displayname],[subject],[item],[link]"
"_EMAIL_CORE_TAGGED_TITLE";"Теговый"
"_EMAIL_CORE_VERIFICATION_BODY";"[header]<br>Благодарим Вас за участие в нашей социальной сети. Чтобы подтвердить свой адрес электронной почты и продолжить, пожалуйста, перейдите по следующей ссылке: <br>[object_link]<br>Email: [email]<br>[footer]"
"_EMAIL_CORE_VERIFICATION_DESCRIPTION";"Это письмо, которое отправляется пользователям для проверки их адреса электронной почты, если случайные пароли отключены."
"_EMAIL_CORE_VERIFICATION_PASSWORD_BODY";"[header]<br>Благодарим Вас за участие в нашей социальной сети. Чтобы подтвердить свой адрес электронной почты и продолжить, пожалуйста, перейдите по следующей ссылке: <br>[object_link]<br>Email: [email]<br>Password: [password]<br>[footer]"
"_EMAIL_CORE_VERIFICATION_PASSWORD_DESCRIPTION";"Это письмо, которое отправляется пользователям для проверки адреса электронной почты, если у вас включен случайный пароль."
"_EMAIL_CORE_VERIFICATION_PASSWORD_SUBJECT";"Social Network - Подтверждение адреса электронной почты"
"_EMAIL_CORE_VERIFICATION_PASSWORD_TITLE";"Проверка адреса электронной почты с паролем"
"_EMAIL_CORE_VERIFICATION_SUBJECT";"Social Network - Подтверждение адреса электронной почты"
"_EMAIL_CORE_VERIFICATION_TITLE";"Проверка адреса электронной почты"
"_EMAIL_CORE_WELCOME_BODY";"[header]<br>Благодарим Вас за участие в нашей социальной сети. Нажмите на следующую ссылку и введите информацию и ниже логин: <br>[object_link]<br>Email: [email]<br>[footer]"
"_EMAIL_CORE_WELCOME_DESCRIPTION";"Это письмо, которое отправляется, когда один из пользователей регистрируется, если случайные пароли запрещены."
"_EMAIL_CORE_WELCOME_PASSWORD_BODY";"[header]<br>Благодарим Вас за участие в нашей социальной сети. Нажмите на следующую ссылку и введите информацию и ниже логин: <br>[object_link]<br>Email: [email]<br>Password: [password]<br>[footer]"
"_EMAIL_CORE_WELCOME_PASSWORD_DESCRIPTION";"Это письмо, которое отправляется, когда один из пользователей регистрируется, если случайные пароли разрешены. Обратите внимание, что если у вас электронная проверка почты включена, случайный пароль недоступен. Это связано с тем, что пароли надежно шифруются при регистрации и не может быть не зашифрованном виде, когда пользователь проверяет их адреса электронной почты и приветствующее сообщение будет отправлено."
"_EMAIL_CORE_WELCOME_PASSWORD_SUBJECT";"Добро пожаловать в социальную сеть!"
"_EMAIL_CORE_WELCOME_PASSWORD_TITLE";"Добро пожаловать проверка пароля"
"_EMAIL_CORE_WELCOME_SUBJECT";"Добро пожаловать в социальную сеть!"
"_EMAIL_CORE_WELCOME_TITLE";"Добро пожаловать!"
"_EMAIL_FOOTER_BODY";"С уважением, <br>Social Network Administration"
"_EMAIL_FOOTER_DESCRIPTION";"Это может быть добавлено в электронную почту с помощью [footer]."
"_EMAIL_FOOTER_MEMBER_BODY";"С уважением,<br>Social Network Administration"
"_EMAIL_FOOTER_MEMBER_DESCRIPTION";"Это может быть добавлено в электронную почту с помощью [footer]." 
"_EMAIL_FOOTER_MEMBER_SUBJECT";@@
"_EMAIL_FOOTER_MEMBER_TITLE";"Footer (Members)"
"_EMAIL_FOOTER_SUBJECT";""
"_EMAIL_FOOTER_TITLE";"Footer (Non-members)"
"_EMAIL_HEADER_BODY";"Привет,"
"_EMAIL_HEADER_DESCRIPTION";"Это может быть добавлено в электронную почту с помощью [header]."
"_EMAIL_HEADER_MEMBER_BODY";"Привет,[recipient_title],"
"_EMAIL_HEADER_MEMBER_DESCRIPTION";"Это может быть добавлено в электронную почту с помощью [header]."
"_EMAIL_HEADER_MEMBER_SUBJECT";""
"_EMAIL_HEADER_MEMBER_TITLE";"Header (Members)"
"_EMAIL_HEADER_SUBJECT";""
"_EMAIL_HEADER_TITLE";"Header (Non-members)"
"_EMAIL_EVENT_ACCEPTED_DESCRIPTION";"Это сообщение посылается пользователям, когда они утверждаются присоединиться к событию. <br/><br/>Available placeholders:<br/>[displayname],[event],[link]"
"_EMAIL_EVENT_ACCEPTED_TITLE";"Событие утверждены"
"_EMAIL_EVENT_DISCUSSION_REPLY_DESCRIPTION";"Это сообщение посылается, когда люди отвечают на обсуждение темы, созданные пользователями. <br/><br/>Available placeholders:<br/>[displayname],[subject],[message],[link]"
"_EMAIL_EVENT_DISCUSSION_REPLY_TITLE";"Событие Обсуждение ответ"
"_EMAIL_EVENT_DISCUSSION_RESPONSE_DESCRIPTION";"Это сообщение посылается, когда люди отвечают на обсуждение темы, которые ответили пользователи. <br/><br/>Available placeholders:<br/>[displayname],[subject],[message],[link]"
"_EMAIL_EVENT_DISCUSSION_RESPONSE_TITLE";"Обсуждение событий реагирования"
"_EMAIL_EVENT_INVITE_DESCRIPTION";"Это сообщение посылается, когда кто-то им предлагается события. <br/><br/>Available placeholders:<br/>[displayname],[subject],[event]"
"_EMAIL_EVENT_INVITE_TITLE";"Приглашение на событие"
"_EMAIL_GROUP_ACCEPTED_BODY";"Группа утверждена"
"_EMAIL_GROUP_ACCEPTED_DESCRIPTION";"Это сообщение посылается пользователям, когда они утверждаются присоединиться к группе. <br/><br/>Available placeholders:<br/>[displayname],[group],[link]"
"_EMAIL_GROUP_ACCEPTED_SUBJECT";"Группа утверждена"
"_EMAIL_GROUP_ACCEPTED_TITLE";"Группа утверждена"
"_EMAIL_GROUP_DISCUSSION_REPLY_DESCRIPTION";"Это сообщение посылается, когда пользователь ответ на обсуждение темы, созданные пользователями. <br/><br/>Available placeholders:<br/>[displayname],[subject],[message],[link]"
"_EMAIL_GROUP_DISCUSSION_REPLY_TITLE";"Группа обсуждения ответ"
"_EMAIL_GROUP_DISCUSSION_RESPONSE_DESCRIPTION";"Это сообщение посылается, когда пользователь ответ на обсуждение темы, что пользователь ответа. <br/><br/>Available placeholders:<br/>[displayname],[subject],[message],[link]"
"_EMAIL_GROUP_DISCUSSION_RESPONSE_TITLE";"Группа обсуждения ответов"
"_EMAIL_GROUP_INVITE_DESCRIPTION";"Это сообщение посылается пользователю, когда его пригласили в группу. <br/><br/>Available placeholders:<br/>[displayname],[subject],[group]"
"_EMAIL_GROUP_INVITE_TITLE";"Группа приглашение"
"_EMAIL_GROUP_PROMOTE_DESCRIPTION";"Это сообщение посылается пользователю звание офицера в группе. <br/><br/>Available placeholders:<br/>[displayname],[group]"
"_EMAIL_GROUP_PROMOTE_TITLE";"Группа поощрения"
"_EMAIL_INVITE_BODY";"[header]<br>Вы были приглашены [sender_title] присоединиться к нашей социальной сети. Чтобы присоединиться, пожалуйста, перейдите по ссылке ниже: <br>[object_link]<br>----------------------------------------<br>[message]<br>----------------------------------------<br>[footer]"
"_EMAIL_INVITE_CODE_BODY";"[header]<br>Вы были приглашены [sender_title] присоединиться к нашей социальной сети. Чтобы присоединиться, пожалуйста, перейдите по ссылке ниже: <br>[object_link]<br>----------------------------------------<br>[message]<br>----------------------------------------<br>[footer]"
"_EMAIL_INVITE_CODE_DESCRIPTION";"Это сообщение посылается пользователю, когда они пригласили одного из пользователей и пригласительный код не требуется."
"_EMAIL_INVITE_CODE_SUBJECT";"Вы получили приглашение присоединиться к нашей социальной сети!"
"_EMAIL_INVITE_CODE_TITLE";"Пригласительный код"
"_EMAIL_INVITE_DESCRIPTION";"Это сообщение посылается , когда пользователи пригласили своих друзей присоединиться во время процесса регистрации."
"_EMAIL_INVITE_SUBJECT";"Вы получили приглашение присоединиться к нашей социальной сети."
"_EMAIL_INVITE_TITLE";"Приглашение"
